S.No,BP,AT,PM10,RH,PM2.5,WD,WS,NH3,CO,NO,NO2,NOx,SO2,Ozone,AQI,Label
2226,973.6529167,18.96458333,277.8333333,69.79791667,150.4479167,240.9375,0.417916667,53.04083333,1.88125,187.06875,107.08625,216.1354167,14.115,26.77291667,1.893612712,Moderate
2227,973.3020833,19.46458333,323.6770833,63.18875,185,251.5625,0.46125,44.45916667,1.748333333,173.6916667,125.7091667,209.0704167,17.75416667,30.66583333,1.886911414,Moderate
2228,973.1333333,19.84166667,325,63.75791667,155.8854167,233.3333333,0.53375,46.2375,2.433760145,183.4901063,121.3766667,224.4046537,17.29083333,27.86625,2.117281306,Moderate
2229,972.5458333,20.60666667,359.2395833,58.99833333,130.2916667,203.3125,0.392083333,41.97166667,3.22375,195.8960459,145.5329167,221.1918779,14.88416667,28.45833333,2.127214294,Moderate
2230,972.4691667,21.18333333,501.875,59.35541667,201.6041667,209.4583333,0.4,48.71333333,3.9675,127.5962585,146.1095833,179.6299706,15.18483168,32.50791667,2.261515162,Moderate
2231,972.45375,21.93875,362.34375,59.9775,156.3958333,230.2916667,0.482916667,54.39416667,2.675416667,192.644273,111.4866667,232.2813204,10.23166667,32.26791667,2.317330386,Unhealthy
2232,972.115,22.17041667,332.4479167,59.54,122.4270833,238.1354167,0.524583333,54.96791667,2.903333333,148.950523,98.84541667,184.8059037,22.7075,25.37083333,2.35149059,Unhealthy
2233,971.5070833,22.55166667,284.5625,51.64375,86.83333333,189.75,0.49,43.24583333,1.961666667,154.5841667,82.88791667,169.8783333,9.151666667,23.65583333,1.91984129,Moderate
2234,972.0083333,22.18666667,238.3958333,48.70333333,86.71875,217.6354167,0.407083333,38.10916667,1.779166667,76.91541667,78.55083333,104.4804167,14.54625,33.3925,1.382635289,Moderate
2235,971.9441667,15.71333333,245.8151045,84.29958333,148.0729167,127.3645833,0.665833333,58.40916667,2.100416667,33.3275,60.08916667,59.12541667,22.76583333,27.4625,1.345519513,Moderate
2236,972.1004167,18.29333333,285.6145833,67.72041667,191.875,143.3125,0.938333333,46.57291667,2.367916667,16.99625,61.375,46.49625,16.53208333,28.03666667,1.02912645,Healthy
2237,971.9575,21.37375,292.8125,46.86625,104.8125,231.8958333,0.607083333,32.50944599,2.443333333,122.4571896,104.5537129,152.1930223,28.49833333,34.95541667,1.278103153,Moderate
2238,972.6875,23.80041667,189.3854167,32.21375,80.82291667,196.21875,0.494583333,36.21722531,1.923333333,148.7297931,135.1120091,192.8513204,30.61291667,36.04958333,1.663029962,Moderate
2239,972.2533333,31.38541667,370.6145833,40.47125,87.05208333,220.9895833,0.763333333,36.36375,2.481981703,60.78458333,70.19041667,86.53125,21.55333333,37.37625,1.29092344,Moderate
2240,729.37375,36.14208333,204.125,55.91833333,111.8645833,155.46875,0.4475,49.49166667,1.731666667,25.05875,44.21625,69.25416667,12.79875,36.05083333,1.96724829,Moderate
2241,971.9191667,35.28208333,195.84375,60.50416667,73.48958333,184.5208333,0.805,33.20583333,1.94875,39.49833333,65.91458333,67.26041667,9.71875,46.8975,1.321145017,Moderate
2242,973.0804167,34.43666667,146.4166667,73.73041667,40.5,88.45833333,1.044166667,33.53291667,2.17756087,24.3175,31.91333333,42.59875,22.74791667,23.62166667,1.453557528,Moderate
2243,971.82625,33.8375,131.4927301,76.02625,57.5878755,119.9375,0.784166667,23.91208333,2.17756087,40.32208333,41.40666667,54.88458333,11.78083333,39.75333333,1.47710799,Moderate
2244,971.96625,35.22708333,310.5575087,65.94791667,67.17708333,271.6354167,0.622916667,29.63708333,2.17756087,130.9545833,56.88458333,137.0120833,19.89916667,12.65541667,1.5,Moderate
2245,973.50625,26.77416667,377.8020833,60.11583333,150.5208333,163.6145833,0.712083333,40.97444599,2.17756087,128.4726063,117.3454167,160.363439,14.86233306,22.09199748,2.164758278,Moderate
2246,972.5258333,22.00791667,278.7708333,57.40291667,124.6041667,209.6041667,0.40375,39.56958333,2.2025,134.035,81.3875,152.4366667,34.49291667,41.06625,1.90542334,Moderate
2247,972.5895833,22.2,215.4583333,55.25333333,92.35416667,245.96875,0.547916667,36.13416667,1.922083333,96.32583333,75.85791667,118.8829167,19.535,30.57416667,1.585797152,Moderate
2248,972.2483333,22.71875,259.0625,55.5575,97.64583333,259.8541667,0.52375,33.60708333,1.884583333,111.15625,75.84208333,130.9816667,18.37083333,26.78666667,1.490286181,Moderate
2249,972.16375,23.03125,322.2291667,53.82625,104.2083333,271.8541667,0.547083333,34.91916667,1.900416667,128.0283333,78.56208333,146.21125,21.02208333,23.90125,1.659548523,Moderate
2250,971.9758333,23.37666667,368.8229167,52.77791667,123.0104167,221.90625,0.385416667,33.05875,2.086666667,142.79375,92.33791667,165.4804167,21.70916667,24.61166667,1.899418988,Moderate
2251,972.1883333,23.27916667,371.1145833,53.92625,127.6770833,183.4166667,0.339166667,33.43083333,2.292083333,145.405,98.04208333,171.2766667,19.6825,29.06666667,1.951450018,Moderate
2252,972.2033333,24.23166667,284.125,48.33958333,106.4251252,240.2604167,0.437083333,25.09125,2.023333333,82.82291667,68.83708333,104.1395833,20.82541667,30.87583333,1.753936085,Moderate
2253,971.9954167,23.39875,275.90625,51.42375,116.5,241.1458333,0.530833333,14.41416667,2.172916667,67.66875,48.27409247,77.4875,23.96791667,30.87416667,1.701401295,Moderate
2254,972.205,23.71041667,305.9479167,53.44458333,122.7688752,164.0729167,0.470833333,15.545,2.2775,64.395,62.15099033,74.27291667,20.17666667,32.8975,1.68374174,Moderate
2255,972.2620833,23.21708333,281.6979167,51.87416667,89.47916667,159.1354167,0.875833333,20.31125,2.032083333,36.7275,43.41541667,53.03041667,23.40333333,32.41833333,1.358777966,Moderate
2256,972.09625,22.15666667,306.7916667,53.12333333,93.34179183,184.4791667,0.959583333,34.16833333,1.889166667,91.67958333,69.96458333,111.9616667,19.65625,22.60708333,1.25307999,Moderate
2257,971.6158333,22.77791667,240.6458333,49.30875,82.71875,249.4895833,0.634583333,42.545,1.727083333,152.94625,112.705,184.62875,24.90708333,37.21291667,1.422498544,Moderate
2258,972.1291667,21.8625,153.03125,53.3575,47.0625,272.7604167,1.127916667,49.82666667,1.830416667,121.0508333,95.08291667,149.2995833,18.42875,40.58,1.721428483,Moderate
2259,972.255,22.34916667,168.4895833,52.52333333,62.89583333,251.0104167,0.858333333,42.3275,2.094583333,137.8370833,116.0495833,174.1045833,20.66208333,40.49208333,1.321902638,Moderate
2260,972.2220833,23.42125,277.6458333,52.9925,110.7083333,188.8020833,0.4575,24.53916667,2.491666667,210.5175,115.9012129,230.4683333,22.99125,36.37708333,1.485334125,Moderate
2261,963.8743994,25.78276142,292.0085722,55.25786113,147.1946262,167.5059403,0.614448751,39.50195525,2.293038587,130.2388591,120.445157,170.4569131,32.88799807,45.52939905,1.928960421,Moderate
2262,955.3867155,27.91510617,233.9129777,53.54447225,94.62883568,167.3452139,0.672230836,44.77682717,2.272327174,119.8989682,70.76486022,135.1954929,19.23891281,50.00421477,1.71225918,Moderate
2263,972.6,25.46666667,403.6381294,45.84958333,115.2395833,214.0416667,1.39625,48.06,2.50375,182.14625,96.83075914,196.7520833,17.70625,45.06208333,1.237221073,Moderate
2264,972.06125,24.55875,217.0104167,36.65916667,48.57291667,271.3541667,1.727083333,56.53333333,1.47375,100.5654167,106.1129167,138.48625,16.53,53.00708333,2.137468245,Moderate
2265,972.5079167,17.71541667,245.8151045,86.6625,112.4270833,187.15625,0.417083333,56.68958333,2.315,93.53666667,72.66583333,114.8833333,19.70125,29.155,1.496440661,Moderate
2266,971.5658333,17.3175,230.7291667,74.44958333,153.375,169.4270833,0.489583333,43.02708333,2.2225,52.27583333,62.33666667,75.8375,18.15583333,20.95166667,1.154613959,Healthy
2267,972.3754167,21.62125,435.0729167,55.80458333,190.0104167,174.1666667,0.422083333,41.88333333,3.170833333,197.939273,136.7054167,233.2917723,32.24791667,71.54441163,1.10585906,Healthy
2268,973.70875,28.56041667,187.5833333,33.8375,77.34375,248.1458333,0.675833333,17.26041667,2.1475,155.00625,107.8849258,179.7541667,30.56875,44.64416667,2.906415688,Unhealthy
2269,972.0804167,32.13833333,239.96875,40.52083333,64.85416667,203.84375,0.625833333,37.1175,2.06114837,52.40333333,69.79875,79.73166667,14.05458333,42.2,1.623023794,Moderate
